id,dob,gender,country,city,job_title,job_industry,wealth_segment
ID0001,1965-09-10,Female,Australia,Sydney,Project Manager,IT,Affluent
ID0002,1979-08-03,Male,UK,Manchester,General Manager,Retail,Mass Affluent
ID0003,1963-12-02,Female,USA,Los Angeles,HR Specialist,Marketing,Affluent
ID0004,1999-01-26,Female,Germany,Berlin,Financial Analyst,Hospitality,High Net Worth
ID0005,1960-02-11,Male,USA,Los Angeles,Accountant,Education,High Net Worth
ID0006,1991-07-13,Male,USA,New York,Marketing Manager,Marketing,High Net Worth
ID0007,1989-11-13,Female,France,Paris,HR Specialist,Education,Mass Affluent
ID0008,1970-11-05,Male,Canada,Toronto,General Manager,Marketing,Affluent
ID0009,1985-06-10,Male,Australia,Sydney,Accountant,Marketing,High Net Worth
ID0010,1976-05-09,Female,France,Paris,Financial Analyst,Education,High Net Worth
ID0011,1979-06-20,Female,Australia,Sydney,Data Scientist,Healthcare,Affluent
ID0012,1974-11-03,Male,Australia,Melbourne,Software Engineer,Finance,Affluent
ID0013,1990-05-17,Male,Germany,Berlin,Consultant,Finance,High Net Worth
ID0014,1982-10-10,Male,USA,Los Angeles,General Manager,Marketing,Affluent
ID0015,1977-12-17,Male,UK,Manchester,Accountant,Marketing,Mass Affluent
ID0016,1992-12-25,Female,Australia,Melbourne,Software Engineer,IT,High Net Worth
ID0017,1981-12-08,Male,Canada,Toronto,Data Scientist,Hospitality,Affluent
ID0018,1999-04-13,Female,France,Paris,Software Engineer,Healthcare,High Net Worth
ID0019,1969-04-06,Female,Vietnam,Hanoi,General Manager,Education,High Net Worth
ID0020,1997-11-11,Female,UK,Manchester,Financial Analyst,Construction,Mass Affluent
ID0021,1966-09-14,Female,USA,Los Angeles,HR Specialist,Finance,High Net Worth
ID0022,1993-02-27,Male,France,Paris,Marketing Manager,Healthcare,High Net Worth
ID0023,1996-05-11,Female,Germany,Berlin,Consultant,Hospitality,Mass Affluent
